text,label,sublabel
Dogs bark and cats meow.,fact,common
Shoes are worn on the feet.,fact,common
She smiled and I felt great.,emotion,positive
Why does gravity exist?,question,scientific
I'm devastated by the news.,emotion,negative
I love this movie!,emotion,positive
DNA contains genetic information.,fact,scientific
This is incredibly frustrating.,emotion,negative
I hate being ignored.,emotion,negative
Did you call your mom?,question,personal
Photosynthesis occurs in plants.,fact,scientific
I'm so angry right now.,emotion,negative
What is quantum entanglement?,question,scientific
Winter is colder than summer.,fact,common
Water freezes at 0 degrees Celsius.,fact,scientific
Shoes are worn on the feet.,fact,common
She smiled and I felt great.,emotion,positive
Photosynthesis occurs in plants.,fact,scientific
What a beautiful sunset!,emotion,positive
People usually eat three meals a day.,fact,common
Will you join us for lunch?,question,personal
Paris is the capital of France.,fact,common
What is quantum entanglement?,question,scientific
Can I ask you something?,question,personal
Paris is the capital of France.,fact,common
Did you call your mom?,question,personal
Can I ask you something?,question,personal
Are we still on for tonight?,question,personal
DNA contains genetic information.,fact,scientific
This is incredibly frustrating.,emotion,negative
The Earth revolves around the Sun.,fact,scientific
Why does everything go wrong?,emotion,negative
Where did you go yesterday?,question,personal
Dogs bark and cats meow.,fact,common
This news made my day!,emotion,positive
Did you call your mom?,question,personal
What causes solar eclipses?,question,scientific
Are we still on for tonight?,question,personal
How do black holes form?,question,scientific
Why does everything go wrong?,emotion,negative
Will you join us for lunch?,question,personal
People usually eat three meals a day.,fact,common
Dogs bark and cats meow.,fact,common
Sound cannot travel in a vacuum.,fact,scientific
I'm devastated by the news.,emotion,negative
What causes solar eclipses?,question,scientific
What a beautiful sunset!,emotion,positive
What causes solar eclipses?,question,scientific
I'm so angry right now.,emotion,negative
How does the brain process memory?,question,scientific
Water freezes at 0 degrees Celsius.,fact,scientific
Sound cannot travel in a vacuum.,fact,scientific
Can I ask you something?,question,personal
I'm thrilled about the results!,emotion,positive
This is incredibly frustrating.,emotion,negative
I hate being ignored.,emotion,negative
Are we still on for tonight?,question,personal
Where did you go yesterday?,question,personal
Winter is colder than summer.,fact,common
Photosynthesis occurs in plants.,fact,scientific
I'm so angry right now.,emotion,negative
The Earth revolves around the Sun.,fact,scientific
Water freezes at 0 degrees Celsius.,fact,scientific
I'm devastated by the news.,emotion,negative
I love this movie!,emotion,positive
Why does gravity exist?,question,scientific
I'm thrilled about the results!,emotion,positive
DNA contains genetic information.,fact,scientific
This news made my day!,emotion,positive
I'm thrilled about the results!,emotion,positive
She smiled and I felt great.,emotion,positive
Will you join us for lunch?,question,personal
This news made my day!,emotion,positive
Sound cannot travel in a vacuum.,fact,scientific
How do black holes form?,question,scientific
Shoes are worn on the feet.,fact,common
What is quantum entanglement?,question,scientific
How does the brain process memory?,question,scientific
I love this movie!,emotion,positive
The Earth revolves around the Sun.,fact,scientific
Where did you go yesterday?,question,personal
How does the brain process memory?,question,scientific
Winter is colder than summer.,fact,common
How do black holes form?,question,scientific
Paris is the capital of France.,fact,common
Why does gravity exist?,question,scientific
Why does everything go wrong?,emotion,negative
I hate being ignored.,emotion,negative
People usually eat three meals a day.,fact,common
What a beautiful sunset!,emotion,positive
